Compilation Mode : analysis
Source File      : demo_step3_ast_valid.bl

TOKEN TYPE       | LEXEME                 | LOCATION
  VarDecl [line 6]: torkik ok
    Init:
      BoolLit: shotti
  ConstDecl [line 7]: dhrubo purno LIMIT
    Init:
      IntLit: 3
  IfStmt [line 13]
    Condition:
      BinaryExpr: ==
        Left:
          Ident: ok
        Right:
          BoolLit: shotti
    Then:
      Block
        PrintStmt [line 10]
          Ident: a
    Else:
      Block
        PrintStmt [line 12]
          IntLit: 0
  WhileStmt [line 17]
    Condition:
      BinaryExpr: <
        Left:
          Ident: a
        Right:
          IntLit: 5
    Body:
      Block
        Assign [line 16]: a =
          Value:
            BinaryExpr: +
              Left:
                Ident: a
              Right:
                IntLit: 1
  ForStmt [line 22]
    Init:
      VarDecl [line 19]: purno i
        Init:
          IntLit: 0
    Condition:
      BinaryExpr: <
        Left:
          Ident: i
        Right:
          Ident: LIMIT
    Update:
      UnaryExpr: ++
        Ident: i
    Body:
      Block
        PrintStmt [line 20]
          Ident: i
        Break [line 21]
  DoWhileStmt [line 26]
    Body:
      Block
        Assign [line 25]: a =
          Value:
            BinaryExpr: -
              Left:
                Ident: a
              Right:
                IntLit: 1
    Condition:
      BinaryExpr: >
        Left:
          Ident: a
        Right:
          IntLit: 1
  SwitchStmt [line 37]
    Expr:
      Ident: a
    Cases:
      Case [line 32]
        Value:
          IntLit: 1
        Body:
          PrintStmt [line 30]
            StringLit: "one"
          Break [line 31]
      Case [line 35]
        Value:
          IntLit: 2
        Body:
          PrintStmt [line 33]
            StringLit: "two"
          Break [line 34]
      Default [line 37]
        Body:
          PrintStmt [line 36]
            StringLit: "other"
  FuncDef [line 41]: purno add
    Params:
      Param: purno x
      Param: purno y
    Body:
      Block
        ReturnStmt [line 40]
          Value:
            BinaryExpr: +
              Left:
                Ident: x
              Right:
                Ident: y
  InputStmt [line 43]: a
  Assign [line 45]: a +=
    Value:
      IntLit: 2
  Assign [line 46]: a -=
    Value:
      IntLit: 1
  Assign [line 47]: a *=
    Value:
      IntLit: 2
  Assign [line 48]: a /=
    Value:
      IntLit: 2
  ExprStmt [line 49]
    UnaryExpr: ++
      Ident: a
  ExprStmt [line 50]
    UnaryExpr: --
      Ident: a
  PrintStmt [line 52]
    FuncCall: add
      Args:
        Ident: a
        IntLit: 3
  PrintStmt [line 53]
    BinaryExpr: +
      Left:
        Ident: a
      Right:
        Ident: b
  PrintStmt [line 54]
    CharLit: 'X'

===== SEMANTIC ANALYSIS =====

===== SEMANTIC ANALYSIS SUMMARY =====
Semantic errors   : 0
Semantic warnings : 0

===== SYMBOL TABLE =====

No.  | Naam                 | Dharon     | Prokar     | Init?  | Const? | Line  
-----+----------------------+------------+------------+--------+--------+-------
1    | a                    | purno      | chorocho   | ha     | na     | 4     
2    | b                    | dosomik    | chorocho   | ha     | na     | 5     
3    | ok                   | torkik     | chorocho   | ha     | na     | 6     
4    | LIMIT                | purno      | dhrubok    | ha     | ha     | 7     
5    | add                  | purno      | kaj        | ha     | na     | 41    

Mot symbol: 5

>> Semantic: PASSED (0 warning(s))

===== C CODE GENERATION & EXECUTION =====
[CODEGEN SKIPPED] Mode 'analysis' er jonno C code generation off.
